experiment_id,date,median,lower,upper,historical_value,historical_quantile,experiment_name,state
19,2020-11-28,5,5,8,NA,NA,spitalasmit,Legudeild
19,2020-11-28,0,0,1,NA,NA,spitalasmit,Gjörgæsla
19,2020-11-29,6,3,10,NA,NA,spitalasmit,Legudeild
19,2020-11-29,0,0,1,NA,NA,spitalasmit,Gjörgæsla
19,2020-11-30,6,3,12,NA,NA,spitalasmit,Legudeild
19,2020-11-30,0,0,2,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-01,7,3,14,NA,NA,spitalasmit,Legudeild
19,2020-12-01,0,0,2,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-02,8,4,18,NA,NA,spitalasmit,Legudeild
19,2020-12-02,0,0,3,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-03,9,4,21,NA,NA,spitalasmit,Legudeild
19,2020-12-03,0,0,3,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-04,10,4,23,NA,NA,spitalasmit,Legudeild
19,2020-12-04,1,0,3,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-05,11,5,30,NA,NA,spitalasmit,Legudeild
19,2020-12-05,1,0,4,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-06,13,5,34,NA,NA,spitalasmit,Legudeild
19,2020-12-06,1,0,5,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-07,15,6,43,NA,NA,spitalasmit,Legudeild
19,2020-12-07,1,0,5,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-08,16,7,48,NA,NA,spitalasmit,Legudeild
19,2020-12-08,1,0,7,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-09,18,8,54,NA,NA,spitalasmit,Legudeild
19,2020-12-09,2,0,7,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-10,21,9,77,NA,NA,spitalasmit,Legudeild
19,2020-12-10,2,0,9,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-11,24,10,92,NA,NA,spitalasmit,Legudeild
19,2020-12-11,2,0,11,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-12,26,11,100,NA,NA,spitalasmit,Legudeild
19,2020-12-12,3,0,12,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-13,29,12,121,NA,NA,spitalasmit,Legudeild
19,2020-12-13,3,0,12,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-14,33,12,125,NA,NA,spitalasmit,Legudeild
19,2020-12-14,3,0,13,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-15,35,13,131,NA,NA,spitalasmit,Legudeild
19,2020-12-15,3,0,13,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-16,37,15,141,NA,NA,spitalasmit,Legudeild
19,2020-12-16,4,1,15,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-17,42,16,155,NA,NA,spitalasmit,Legudeild
19,2020-12-17,4,0,15,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-18,45,16,154,NA,NA,spitalasmit,Legudeild
19,2020-12-18,5,1,16,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-19,46,16,165,NA,NA,spitalasmit,Legudeild
19,2020-12-19,5,1,18,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-20,50,17,171,NA,NA,spitalasmit,Legudeild
19,2020-12-20,5,1,19,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-21,53,18,173,NA,NA,spitalasmit,Legudeild
19,2020-12-21,6,1,19,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-22,54,18,182,NA,NA,spitalasmit,Legudeild
19,2020-12-22,6,1,20,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-23,55,21,199,NA,NA,spitalasmit,Legudeild
19,2020-12-23,7,1,22,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-24,60,20,194,NA,NA,spitalasmit,Legudeild
19,2020-12-24,7,1,24,NA,NA,spitalasmit,Gjörgæsla
19,2020-12-25,64,20,197,NA,NA,spitalasmit,Legudeild
19,2020-12-25,7,2,24,NA,NA,spitalasmit,Gjörgæsla
