age_group_simple,state,type,state_duration,count
0-50,home,censored,2,5
0-50,home,censored,3,20
0-50,home,censored,4,14
0-50,home,censored,5,55
0-50,home,censored,6,56
0-50,home,censored,7,61
0-50,home,censored,8,59
0-50,home,censored,9,48
0-50,home,censored,10,49
0-50,home,censored,11,35
0-50,home,censored,12,71
0-50,home,censored,13,61
0-50,home,censored,14,40
0-50,home,censored,15,19
0-50,home,censored,16,21
0-50,home,censored,17,11
0-50,home,censored,18,5
0-50,home,censored,19,16
0-50,home,censored,20,6
0-50,home,censored,21,3
0-50,home,censored,22,11
0-50,home,censored,23,1
0-50,home,censored,24,1
0-50,home,censored,25,2
0-50,home,imputed,1,10
0-50,home,imputed,2,8
0-50,home,imputed,3,10
0-50,home,imputed,4,14
0-50,home,imputed,5,12
0-50,home,imputed,6,2
0-50,home,imputed,7,7
0-50,home,imputed,8,37
0-50,home,imputed,9,18
0-50,home,imputed,10,47
0-50,home,imputed,11,55
0-50,home,imputed,12,65
0-50,home,imputed,13,87
0-50,home,imputed,14,282
0-50,home,imputed,15,139
0-50,home,imputed,16,70
0-50,home,imputed,17,70
0-50,home,imputed,18,45
0-50,home,imputed,19,33
0-50,home,imputed,20,33
0-50,home,imputed,21,11
0-50,home,imputed,22,33
0-50,home,imputed,23,14
0-50,home,imputed,24,6
0-50,home,imputed,26,23
0-50,home,imputed,27,10
0-50,home,imputed,30,8
0-50,home,imputed,32,2
0-50,home,uncensored,1,10
0-50,home,uncensored,2,8
0-50,home,uncensored,3,10
0-50,home,uncensored,4,14
0-50,home,uncensored,5,12
0-50,home,uncensored,6,2
0-50,home,uncensored,7,6
0-50,home,uncensored,8,21
0-50,home,uncensored,9,8
0-50,home,uncensored,10,30
0-50,home,uncensored,11,32
0-50,home,uncensored,12,40
0-50,home,uncensored,13,39
0-50,home,uncensored,14,105
0-50,home,uncensored,15,47
0-50,home,uncensored,16,31
0-50,home,uncensored,17,19
0-50,home,uncensored,18,15
0-50,home,uncensored,19,9
0-50,home,uncensored,20,6
0-50,home,uncensored,21,2
0-50,home,uncensored,22,8
0-50,home,uncensored,23,2
0-50,home,uncensored,26,3
0-50,home,uncensored,27,2
0-50,inpatient_ward,imputed,1,4
0-50,inpatient_ward,imputed,2,1
0-50,inpatient_ward,imputed,3,2
0-50,inpatient_ward,imputed,4,2
0-50,inpatient_ward,imputed,5,2
0-50,inpatient_ward,uncensored,1,4
0-50,inpatient_ward,uncensored,2,1
0-50,inpatient_ward,uncensored,3,2
0-50,inpatient_ward,uncensored,4,2
0-50,inpatient_ward,uncensored,5,2
0-50,intensive_care_unit,censored,9,1
0-50,intensive_care_unit,imputed,2,1
0-50,intensive_care_unit,imputed,17,1
0-50,intensive_care_unit,uncensored,2,1
51+,home,censored,2,2
