state,splitting_variable,censored,state_duration,count
home-green,age_0-50,FALSE,1,27
home-green,age_0-50,FALSE,2,40
home-green,age_0-50,FALSE,3,30
home-green,age_0-50,FALSE,4,43
home-green,age_0-50,FALSE,5,32
home-green,age_0-50,FALSE,6,32
home-green,age_0-50,FALSE,7,40
home-green,age_0-50,FALSE,8,63
home-green,age_0-50,FALSE,9,47
home-green,age_0-50,FALSE,10,47
home-green,age_0-50,FALSE,11,34
home-green,age_0-50,FALSE,12,41
home-green,age_0-50,FALSE,13,57
home-green,age_0-50,FALSE,14,357
home-green,age_0-50,FALSE,15,115
home-green,age_0-50,FALSE,16,59
home-green,age_0-50,FALSE,17,50
home-green,age_0-50,FALSE,18,25
home-green,age_0-50,FALSE,19,11
home-green,age_0-50,FALSE,20,14
home-green,age_0-50,FALSE,21,8
home-green,age_0-50,FALSE,22,9
home-green,age_0-50,FALSE,23,4
home-green,age_0-50,FALSE,24,2
home-green,age_0-50,FALSE,25,1
home-green,age_0-50,FALSE,26,1
home-green,age_0-50,FALSE,27,2
home-green,age_0-50,FALSE,28,2
home-green,age_0-50,FALSE,29,2
home-green,age_0-50,FALSE,30,1
home-green,age_0-50,FALSE,33,1
home-green,age_51+,FALSE,1,20
home-green,age_51+,FALSE,2,28
home-green,age_51+,FALSE,3,24
home-green,age_51+,FALSE,4,25
home-green,age_51+,FALSE,5,27
home-green,age_51+,FALSE,6,26
home-green,age_51+,FALSE,7,28
home-green,age_51+,FALSE,8,22
home-green,age_51+,FALSE,9,20
home-green,age_51+,FALSE,10,28
home-green,age_51+,FALSE,11,22
home-green,age_51+,FALSE,12,18
home-green,age_51+,FALSE,13,18
home-green,age_51+,FALSE,14,99
home-green,age_51+,FALSE,15,38
home-green,age_51+,FALSE,16,27
home-green,age_51+,FALSE,17,21
home-green,age_51+,FALSE,18,8
home-green,age_51+,FALSE,19,12
home-green,age_51+,FALSE,20,9
home-green,age_51+,FALSE,21,3
home-green,age_51+,FALSE,22,2
home-green,age_51+,FALSE,23,2
home-green,age_51+,FALSE,24,1
home-green,age_51+,FALSE,26,2
home-green,age_51+,FALSE,27,1
home-green,age_51+,FALSE,31,1
home-green,age_51+,FALSE,46,1
home-green,age_51+,FALSE,62,1
home-green,age_0-50,TRUE,1,9
home-green,age_0-50,TRUE,2,6
home-green,age_0-50,TRUE,3,17
home-green,age_0-50,TRUE,4,17
home-green,age_0-50,TRUE,5,9
home-green,age_0-50,TRUE,6,13
home-green,age_0-50,TRUE,7,18
home-green,age_0-50,TRUE,8,16
home-green,age_0-50,TRUE,9,7
home-green,age_0-50,TRUE,10,21
home-green,age_0-50,TRUE,11,17
home-green,age_0-50,TRUE,12,24
home-green,age_0-50,TRUE,13,17
home-green,age_0-50,TRUE,14,9
home-green,age_0-50,TRUE,15,17
home-green,age_0-50,TRUE,16,13
home-green,age_0-50,TRUE,17,5
home-green,age_0-50,TRUE,18,11
home-green,age_0-50,TRUE,19,4
home-green,age_0-50,TRUE,20,3
home-green,age_0-50,TRUE,21,4
home-green,age_0-50,TRUE,22,6
home-green,age_0-50,TRUE,23,4
home-green,age_0-50,TRUE,24,3
home-green,age_0-50,TRUE,25,3
home-green,age_0-50,TRUE,26,1
home-green,age_0-50,TRUE,27,1
home-green,age_0-50,TRUE,28,1
home-green,age_0-50,TRUE,37,1
home-green,age_51+,TRUE,1,9
home-green,age_51+,TRUE,2,7
home-green,age_51+,TRUE,3,13
home-green,age_51+,TRUE,4,6
home-green,age_51+,TRUE,5,7
home-green,age_51+,TRUE,6,2
home-green,age_51+,TRUE,7,4
home-green,age_51+,TRUE,8,4
home-green,age_51+,TRUE,9,8
home-green,age_51+,TRUE,10,9
home-green,age_51+,TRUE,11,8
home-green,age_51+,TRUE,12,6
home-green,age_51+,TRUE,13,6
home-green,age_51+,TRUE,14,2
home-green,age_51+,TRUE,15,10
home-green,age_51+,TRUE,16,7
home-green,age_51+,TRUE,17,1
home-green,age_51+,TRUE,18,5
home-green,age_51+,TRUE,19,3
home-green,age_51+,TRUE,20,1
home-green,age_51+,TRUE,21,1
home-green,age_51+,TRUE,22,1
home-green,age_51+,TRUE,23,3
home-green,age_51+,TRUE,24,1
home-green,age_51+,TRUE,27,2
home-green,age_51+,TRUE,31,1
home-red,age_0-50,FALSE,1,83
home-red,age_0-50,FALSE,2,74
home-red,age_0-50,FALSE,3,58
home-red,age_0-50,FALSE,4,55
home-red,age_0-50,FALSE,5,43
home-red,age_0-50,FALSE,6,27
home-red,age_0-50,FALSE,7,18
home-red,age_0-50,FALSE,8,12
home-red,age_0-50,FALSE,9,14
home-red,age_0-50,FALSE,10,8
home-red,age_0-50,FALSE,11,8
home-red,age_0-50,FALSE,13,3
home-red,age_0-50,FALSE,14,2
home-red,age_0-50,FALSE,15,1
home-red,age_0-50,FALSE,19,2
home-red,age_0-50,FALSE,20,1
home-red,age_51+,FALSE,1,51
home-red,age_51+,FALSE,2,53
home-red,age_51+,FALSE,3,56
home-red,age_51+,FALSE,4,38
home-red,age_51+,FALSE,5,28
home-red,age_51+,FALSE,6,15
home-red,age_51+,FALSE,7,14
