state,age_group_simple,censored,state_duration,count
home,0-50,FALSE,1,1
home,0-50,FALSE,2,1
home,0-50,FALSE,3,2
home,0-50,FALSE,4,8
home,0-50,FALSE,5,4
home,0-50,FALSE,6,2
home,0-50,FALSE,7,3
home,0-50,FALSE,8,19
home,0-50,FALSE,9,6
home,0-50,FALSE,10,13
home,0-50,FALSE,11,12
home,0-50,FALSE,12,27
home,0-50,FALSE,13,42
home,0-50,FALSE,14,329
home,0-50,FALSE,15,121
home,0-50,FALSE,16,71
home,0-50,FALSE,17,55
home,0-50,FALSE,18,40
home,0-50,FALSE,19,22
home,0-50,FALSE,20,27
home,0-50,FALSE,21,13
home,0-50,FALSE,22,14
home,0-50,FALSE,23,6
home,0-50,FALSE,24,7
home,0-50,FALSE,25,3
home,0-50,FALSE,26,3
home,0-50,FALSE,27,5
home,0-50,FALSE,28,3
home,0-50,FALSE,29,3
home,0-50,FALSE,30,1
home,0-50,FALSE,31,1
home,0-50,FALSE,32,1
home,0-50,FALSE,33,1
home,51+,FALSE,1,9
home,51+,FALSE,2,6
home,51+,FALSE,3,8
home,51+,FALSE,4,6
home,51+,FALSE,5,4
home,51+,FALSE,6,5
home,51+,FALSE,7,7
home,51+,FALSE,8,11
home,51+,FALSE,9,3
home,51+,FALSE,10,6
home,51+,FALSE,11,10
home,51+,FALSE,12,10
home,51+,FALSE,13,14
home,51+,FALSE,14,114
home,51+,FALSE,15,32
home,51+,FALSE,16,30
home,51+,FALSE,17,29
home,51+,FALSE,18,16
home,51+,FALSE,19,17
home,51+,FALSE,20,20
home,51+,FALSE,21,7
home,51+,FALSE,22,3
home,51+,FALSE,23,6
home,51+,FALSE,24,3
home,51+,FALSE,25,2
home,51+,FALSE,26,3
home,51+,FALSE,27,2
home,51+,FALSE,28,1
home,51+,FALSE,29,1
home,51+,FALSE,31,2
home,51+,FALSE,32,1
home,0-50,TRUE,2,10
home,0-50,TRUE,3,2
home,0-50,TRUE,4,7
home,0-50,TRUE,5,7
home,0-50,TRUE,6,10
home,0-50,TRUE,7,4
home,0-50,TRUE,8,21
home,0-50,TRUE,9,22
home,0-50,TRUE,10,23
home,0-50,TRUE,11,22
home,0-50,TRUE,12,11
home,0-50,TRUE,13,54
home,0-50,TRUE,14,44
home,0-50,TRUE,15,21
home,0-50,TRUE,16,30
home,0-50,TRUE,17,13
home,0-50,TRUE,18,14
home,0-50,TRUE,19,10
home,0-50,TRUE,20,18
home,0-50,TRUE,21,15
home,0-50,TRUE,22,7
home,0-50,TRUE,23,7
home,0-50,TRUE,24,6
home,0-50,TRUE,25,2
home,0-50,TRUE,26,2
home,0-50,TRUE,27,2
home,0-50,TRUE,28,2
home,0-50,TRUE,29,1
home,0-50,TRUE,30,1
home,0-50,TRUE,35,1
home,51+,TRUE,1,1
home,51+,TRUE,2,8
home,51+,TRUE,3,1
home,51+,TRUE,4,2
home,51+,TRUE,5,2
home,51+,TRUE,6,1
home,51+,TRUE,7,6
home,51+,TRUE,8,11
home,51+,TRUE,9,7
home,51+,TRUE,10,12
home,51+,TRUE,11,7
home,51+,TRUE,12,8
home,51+,TRUE,13,28
home,51+,TRUE,14,16
home,51+,TRUE,15,4
home,51+,TRUE,16,11
home,51+,TRUE,17,6
home,51+,TRUE,18,2
home,51+,TRUE,19,4
home,51+,TRUE,20,5
home,51+,TRUE,21,7
home,51+,TRUE,22,9
home,51+,TRUE,23,1
home,51+,TRUE,24,5
home,51+,TRUE,25,4
home,51+,TRUE,26,2
home,51+,TRUE,27,1
home,51+,TRUE,28,1
home,51+,TRUE,29,2
home,51+,TRUE,30,1
home,51+,TRUE,31,1
home,51+,TRUE,33,1
inpatient_ward,0-50,FALSE,1,4
inpatient_ward,0-50,FALSE,2,2
inpatient_ward,0-50,FALSE,3,3
inpatient_ward,0-50,FALSE,4,2
inpatient_ward,0-50,FALSE,5,2
inpatient_ward,51+,FALSE,1,13
inpatient_ward,51+,FALSE,2,6
inpatient_ward,51+,FALSE,3,13
inpatient_ward,51+,FALSE,4,6
inpatient_ward,51+,FALSE,5,7
inpatient_ward,51+,FALSE,6,4
inpatient_ward,51+,FALSE,7,4
inpatient_ward,51+,FALSE,8,5
inpatient_ward,51+,FALSE,11,1
inpatient_ward,51+,FALSE,12,1
inpatient_ward,51+,FALSE,14,1
inpatient_ward,51+,FALSE,15,1
inpatient_ward,51+,FALSE,16,1
inpatient_ward,51+,FALSE,19,1
inpatient_ward,51+,FALSE,20,1
inpatient_ward,0-50,TRUE,7,1
inpatient_ward,51+,TRUE,1,5
inpatient_ward,51+,TRUE,2,1
inpatient_ward,51+,TRUE,3,1
inpatient_ward,51+,TRUE,4,1
inpatient_ward,51+,TRUE,5,1
inpatient_ward,51+,TRUE,6,1
inpatient_ward,51+,TRUE,7,2
inpatient_ward,51+,TRUE,8,1
inpatient_ward,51+,TRUE,9,2
inpatient_ward,51+,TRUE,10,2
inpatient_ward,51+,TRUE,13,1
inpatient_ward,51+,TRUE,17,2
inpatient_ward,51+,TRUE,18,1
inpatient_ward,51+,TRUE,19,5
inpatient_ward,51+,TRUE,22,1
intensive_care_unit,0-50,FALSE,2,1
intensive_care_unit,0-50,FALSE,10,1
intensive_care_unit,51+,FALSE,1,5
intensive_care_unit,51+,FALSE,2,1
intensive_care_unit,51+,FALSE,3,2
intensive_care_unit,51+,FALSE,4,1
intensive_care_unit,51+,FALSE,5,1
intensive_care_unit,51+,FALSE,7,3
intensive_care_unit,51+,FALSE,11,1
intensive_care_unit,51+,FALSE,13,1
