age_group_simple,state,type,state_duration,count
0-50,home,censored,2,45
0-50,home,censored,3,35
0-50,home,censored,4,42
0-50,home,censored,5,45
0-50,home,censored,6,50
0-50,home,censored,7,36
0-50,home,censored,8,72
0-50,home,censored,9,66
0-50,home,censored,10,40
0-50,home,censored,11,50
0-50,home,censored,12,50
0-50,home,censored,13,31
0-50,home,censored,14,9
0-50,home,censored,15,29
0-50,home,censored,16,19
0-50,home,censored,17,11
0-50,home,censored,18,15
0-50,home,censored,19,3
0-50,home,censored,20,2
0-50,home,censored,21,3
0-50,home,censored,23,1
0-50,home,censored,24,1
0-50,home,censored,25,1
0-50,home,imputed,1,1
0-50,home,imputed,2,1
0-50,home,imputed,3,3
0-50,home,imputed,4,10
0-50,home,imputed,5,1
0-50,home,imputed,6,7
0-50,home,imputed,7,5
0-50,home,imputed,8,22
0-50,home,imputed,9,6
0-50,home,imputed,10,21
0-50,home,imputed,11,16
0-50,home,imputed,12,25
0-50,home,imputed,13,33
0-50,home,imputed,14,355
0-50,home,imputed,15,136
0-50,home,imputed,16,105
0-50,home,imputed,17,67
0-50,home,imputed,18,38
0-50,home,imputed,19,28
0-50,home,imputed,20,51
0-50,home,imputed,21,3
0-50,home,imputed,22,23
0-50,home,imputed,23,12
0-50,home,imputed,24,8
0-50,home,imputed,25,1
0-50,home,imputed,26,6
0-50,home,imputed,27,4
0-50,home,uncensored,1,1
0-50,home,uncensored,2,1
0-50,home,uncensored,3,3
0-50,home,uncensored,4,8
0-50,home,uncensored,5,1
0-50,home,uncensored,6,3
0-50,home,uncensored,7,3
0-50,home,uncensored,8,12
0-50,home,uncensored,9,2
0-50,home,uncensored,10,10
0-50,home,uncensored,11,8
0-50,home,uncensored,12,10
0-50,home,uncensored,13,13
0-50,home,uncensored,14,130
0-50,home,uncensored,15,53
0-50,home,uncensored,16,29
0-50,home,uncensored,17,17
0-50,home,uncensored,18,9
0-50,home,uncensored,19,4
0-50,home,uncensored,20,7
0-50,home,uncensored,21,1
0-50,home,uncensored,22,3
0-50,home,uncensored,23,2
0-50,home,uncensored,26,1
0-50,home,uncensored,27,1
0-50,inpatient_ward,censored,2,1
0-50,inpatient_ward,censored,3,1
0-50,inpatient_ward,censored,5,1
