"date","agegroup","variable","value"
"1",2020-03-05,"60-69","fj_innlagna_a_spitala",1
"2",2020-03-10,"60-69","fj_utskrifta_af_spitala",1
"3",2020-03-11,"60-69","fj_innlagna_a_spitala",1
"4",2020-03-12,"60-69","fj_innlagna_a_spitala",1
"5",2020-03-13,"60-69","fj_innlagna_a_spitala",1
"6",2020-03-13,"60-69","fj_utskrifta_af_spitala",1
"7",2020-03-14,"50-59","fj_innlagna_a_spitala",1
"8",2020-03-14,"60-69","fj_innlagna_a_icu",1
"9",2020-03-15,"50-59","fj_innlagna_a_icu",1
"10",2020-03-16,"70-79","fj_innlagna_a_spitala",1
"11",2020-03-17,"60-69","fj_innlagna_a_spitala",1
"12",2020-03-18,"50-59","fj_utskrifta_af_icu",1
"13",2020-03-18,"60-69","fj_innlagna_a_spitala",1
"14",2020-03-18,"60-69","fj_utskrifta_af_icu",1
"15",2020-03-19,"60-69","fj_utskrifta_af_spitala",1
"16",2020-03-19,"70-79","fj_innlagna_a_spitala",1
"17",2020-03-19,"70-79","fj_innlagna_a_icu",1
"18",2020-03-20,"40-49","fj_innlagna_a_spitala",1
"19",2020-03-20,"50-59","fj_innlagna_a_spitala",1
"20",2020-03-20,"50-59","fj_batnad",1
"21",2020-03-20,"60-69","fj_innlagna_a_spitala",1
"22",2020-03-20,"70-79","fj_innlagna_a_spitala",1
"23",2020-03-20,"70-79","fj_utskrifta_af_icu",1
"24",2020-03-21,"20-29","fj_innlagna_a_spitala",1
"25",2020-03-21,"70-79","fj_innlagna_a_spitala",1
"26",2020-03-22,"40-49","fj_batnad",1
"27",2020-03-22,"40-49","fj_utskrifta_af_icu",1
"28",2020-03-22,"50-59","fj_innlagna_a_spitala",1
"29",2020-03-22,"50-59","fj_batnad",2
"30",2020-03-22,"60-69","fj_utskrifta_af_spitala",2
"31",2020-03-22,"80+","fj_innlagna_a_spitala",1
"32",2020-03-23,"10-19","fj_batnad",2
"33",2020-03-23,"30-39","fj_batnad",2
"34",2020-03-23,"40-49","fj_innlagna_a_spitala",1
"35",2020-03-23,"50-59","fj_innlagna_a_spitala",1
"36",2020-03-23,"50-59","fj_innlagna_a_spitala",1
"37",2020-03-23,"50-59","fj_utskrifta_af_spitala",1
"38",2020-03-23,"60-69","fj_innlagna_a_spitala",1
"39",2020-03-23,"60-69","fj_batnad",3
"40",2020-03-23,"60-69","fj_utskrifta_af_spitala",1
"41",2020-03-23,"70-79","fj_batnad",1
"42",2020-03-23,"70-79","fj_andlata",1
"43",2020-03-23,"70-79","fj_utskrifta_af_spitala",1
"44",2020-03-24,"40-49","fj_batnad",1
"45",2020-03-24,"50-59","fj_utskrifta_af_spitala",1
"46",2020-03-24,"50-59","fj_utskrifta_af_icu",1
"47",2020-03-24,"60-69","fj_innlagna_a_spitala",1
"48",2020-03-24,"60-69","fj_batnad",2
"49",2020-03-24,"70-79","fj_innlagna_a_spitala",2
"50",2020-03-24,"70-79","fj_innlagna_a_spitala",1
"51",2020-03-25,"20-29","fj_batnad",3
"52",2020-03-25,"20-29","fj_utskrifta_af_spitala",1
"53",2020-03-25,"30-39","fj_batnad",2
"54",2020-03-25,"40-49","fj_batnad",3
"55",2020-03-25,"40-49","fj_utskrifta_af_spitala",1
"56",2020-03-25,"50-59","fj_utskrifta_af_spitala",1
"57",2020-03-25,"60-69","fj_innlagna_a_spitala",1
"58",2020-03-25,"60-69","fj_innlagna_a_spitala",1
"59",2020-03-25,"60-69","fj_innlagna_a_spitala",2
"60",2020-03-25,"60-69","fj_batnad",3
"61",2020-03-25,"70-79","fj_innlagna_a_spitala",1
"62",2020-03-25,"70-79","fj_utskrifta_af_spitala",1
"63",2020-03-26,"10-19","fj_batnad",2
"64",2020-03-26,"20-29","fj_batnad",3
"65",2020-03-26,"30-39","fj_batnad",2
"66",2020-03-26,"40-49","fj_batnad",2
"67",2020-03-26,"40-49","fj_utskrifta_af_spitala",1
"68",2020-03-26,"50-59","fj_batnad",2
"69",2020-03-26,"50-59","fj_utskrifta_af_spitala",1
"70",2020-03-26,"60-69","fj_batnad",4
"71",2020-03-26,"60-69","fj_innlagna_a_icu",1
"72",2020-03-26,"70-79","fj_innlagna_a_spitala",2
"73",2020-03-26,"70-79","fj_innlagna_a_icu",2
"74",2020-03-26,"80+","fj_innlagna_a_spitala",1
"75",2020-03-27,"10-19","fj_batnad",1
"76",2020-03-27,"20-29","fj_batnad",2
"77",2020-03-27,"30-39","fj_batnad",2
"78",2020-03-27,"40-49","fj_batnad",5
"79",2020-03-27,"50-59","fj_innlagna_a_spitala",1
"80",2020-03-27,"50-59","fj_batnad",2
"81",2020-03-27,"50-59","fj_utskrifta_af_spitala",1
"82",2020-03-27,"60-69","fj_innlagna_a_spitala",2
"83",2020-03-27,"60-69","fj_batnad",3
"84",2020-03-27,"70-79","fj_innlagna_a_spitala",1
"85",2020-03-27,"70-79","fj_utskrifta_af_spitala",1
"86",2020-03-28,"10-19","fj_batnad",1
"87",2020-03-28,"20-29","fj_batnad",1
"88",2020-03-28,"30-39","fj_batnad",1
"89",2020-03-28,"40-49","fj_batnad",7
"90",2020-03-28,"50-59","fj_innlagna_a_spitala",1
"91",2020-03-28,"50-59","fj_innlagna_a_icu",1
"92",2020-03-28,"60-69","fj_utskrifta_af_spitala",1
"93",2020-03-28,"70-79","fj_innlagna_a_spitala",1
"94",2020-03-28,"70-79","fj_utskrifta_af_spitala",1
"95",2020-03-28,"80+","fj_innlagna_a_spitala",1
"96",2020-03-28,"80+","fj_innlagna_a_spitala",1
"97",2020-03-29,"10-19","fj_batnad",1
"98",2020-03-29,"20-29","fj_batnad",5
"99",2020-03-29,"30-39","fj_batnad",1
"100",2020-03-29,"40-49","fj_batnad",4
"101",2020-03-29,"50-59","fj_innlagna_a_spitala",1
"102",2020-03-29,"50-59","fj_batnad",4
"103",2020-03-29,"60-69","fj_innlagna_a_spitala",1
"104",2020-03-29,"60-69","fj_innlagna_a_spitala",1
"105",2020-03-29,"60-69","fj_batnad",2
"106",2020-03-29,"60-69","fj_utskrifta_af_spitala",1
"107",2020-03-29,"60-69","fj_innlagna_a_icu",2
"108",2020-03-29,"70-79","fj_innlagna_a_spitala",1
"109",2020-03-29,"70-79","fj_batnad",1
"110",2020-03-29,"80+","fj_innlagna_a_spitala",3
"111",2020-03-29,"80+","fj_innlagna_a_spitala",3
"112",2020-03-30,"0-9","fj_batnad",1
"113",2020-03-30,"10-19","fj_batnad",3
"114",2020-03-30,"20-29","fj_batnad",3
"115",2020-03-30,"30-39","fj_batnad",12
"116",2020-03-30,"40-49","fj_innlagna_a_spitala",2
"117",2020-03-30,"40-49","fj_innlagna_a_spitala",1
"118",2020-03-30,"40-49","fj_batnad",8
"119",2020-03-30,"50-59","fj_innlagna_a_spitala",1
"120",2020-03-30,"50-59","fj_batnad",9
"121",2020-03-30,"60-69","fj_innlagna_a_spitala",1
"122",2020-03-30,"60-69","fj_batnad",2
"123",2020-03-30,"60-69","fj_utskrifta_af_icu",1
"124",2020-03-30,"70-79","fj_utskrifta_af_spitala",1
