age_group_simple,state,type,state_duration,count
0-50,home,censored,2,35
0-50,home,censored,3,42
0-50,home,censored,4,45
0-50,home,censored,5,50
0-50,home,censored,6,36
0-50,home,censored,7,72
0-50,home,censored,8,66
0-50,home,censored,9,40
0-50,home,censored,10,50
0-50,home,censored,11,50
0-50,home,censored,12,31
0-50,home,censored,13,9
0-50,home,censored,14,29
0-50,home,censored,15,19
0-50,home,censored,16,11
0-50,home,censored,17,15
0-50,home,censored,18,3
0-50,home,censored,19,2
0-50,home,censored,20,3
0-50,home,censored,22,1
0-50,home,censored,23,1
0-50,home,censored,24,1
0-50,home,imputed,1,1
0-50,home,imputed,2,1
0-50,home,imputed,3,6
0-50,home,imputed,4,9
0-50,home,imputed,5,4
0-50,home,imputed,6,12
0-50,home,imputed,7,8
0-50,home,imputed,8,17
0-50,home,imputed,9,6
0-50,home,imputed,10,45
0-50,home,imputed,11,45
0-50,home,imputed,12,66
0-50,home,imputed,13,50
0-50,home,imputed,14,285
0-50,home,imputed,15,119
0-50,home,imputed,16,75
0-50,home,imputed,17,59
0-50,home,imputed,18,21
0-50,home,imputed,19,22
0-50,home,imputed,20,45
0-50,home,imputed,21,3
0-50,home,imputed,22,11
0-50,home,imputed,23,18
0-50,home,imputed,24,5
0-50,home,imputed,26,10
0-50,home,uncensored,1,1
0-50,home,uncensored,2,1
0-50,home,uncensored,3,4
0-50,home,uncensored,4,7
0-50,home,uncensored,5,4
0-50,home,uncensored,6,4
0-50,home,uncensored,7,5
0-50,home,uncensored,8,12
0-50,home,uncensored,9,3
0-50,home,uncensored,10,17
0-50,home,uncensored,11,15
0-50,home,uncensored,12,30
0-50,home,uncensored,13,22
0-50,home,uncensored,14,102
0-50,home,uncensored,15,44
0-50,home,uncensored,16,21
0-50,home,uncensored,17,15
0-50,home,uncensored,18,7
0-50,home,uncensored,19,4
0-50,home,uncensored,20,6
0-50,home,uncensored,21,1
0-50,home,uncensored,22,3
0-50,home,uncensored,23,2
0-50,home,uncensored,26,2
0-50,inpatient_ward,censored,2,2
0-50,inpatient_ward,censored,4,1
0-50,inpatient_ward,imputed,1,4
0-50,inpatient_ward,imputed,3,2
0-50,inpatient_ward,imputed,4,2
0-50,inpatient_ward,imputed,6,1
0-50,inpatient_ward,imputed,8,1
0-50,inpatient_ward,uncensored,1,4
0-50,inpatient_ward,uncensored,3,2
0-50,inpatient_ward,uncensored,4,1
0-50,intensive_care_unit,censored,4,1
0-50,intensive_care_unit,imputed,2,1
0-50,intensive_care_unit,imputed,21,1
0-50,intensive_care_unit,uncensored,2,1
51+,home,censored,2,8
51+,home,censored,3,19
51+,home,censored,4,20
51+,home,censored,5,15
51+,home,censored,6,12
51+,home,censored,7,31
51+,home,censored,8,30
51+,home,censored,9,28
51+,home,censored,10,21
51+,home,censored,11,21
51+,home,censored,12,18
51+,home,censored,13,3
51+,home,censored,14,11
51+,home,censored,15,11
51+,home,censored,16,5
51+,home,censored,17,7
51+,home,censored,18,2
51+,home,censored,20,4
51+,home,censored,23,1
51+,home,imputed,1,13
51+,home,imputed,2,7
51+,home,imputed,3,6
51+,home,imputed,4,4
51+,home,imputed,5,5
51+,home,imputed,6,7
51+,home,imputed,7,5
51+,home,imputed,8,5
51+,home,imputed,9,6
51+,home,imputed,10,21
51+,home,imputed,11,14
51+,home,imputed,12,21
51+,home,imputed,13,26
51+,home,imputed,14,109
51+,home,imputed,15,50
51+,home,imputed,16,41
51+,home,imputed,17,18
51+,home,imputed,18,10
51+,home,imputed,19,18
51+,home,imputed,20,17
51+,home,imputed,21,1
51+,home,imputed,22,9
51+,home,imputed,23,6
51+,home,imputed,24,5
51+,home,imputed,26,6
51+,home,uncensored,1,13
51+,home,uncensored,2,7
51+,home,uncensored,3,5
51+,home,uncensored,4,4
51+,home,uncensored,5,3
51+,home,uncensored,6,4
51+,home,uncensored,7,3
51+,home,uncensored,8,3
51+,home,uncensored,9,4
51+,home,uncensored,10,8
51+,home,uncensored,11,8
51+,home,uncensored,12,5
51+,home,uncensored,13,6
51+,home,uncensored,14,35
51+,home,uncensored,15,10
51+,home,uncensored,16,14
51+,home,uncensored,17,7
51+,home,uncensored,18,2
51+,home,uncensored,19,6
51+,home,uncensored,20,9
51+,home,uncensored,22,2
51+,home,uncensored,23,2
51+,home,uncensored,24,2
51+,home,uncensored,26,1
51+,inpatient_ward,censored,2,3
51+,inpatient_ward,censored,3,5
51+,inpatient_ward,censored,4,1
51+,inpatient_ward,censored,5,8
51+,inpatient_ward,censored,6,2
51+,inpatient_ward,censored,7,1
51+,inpatient_ward,censored,8,1
51+,inpatient_ward,censored,9,1
51+,inpatient_ward,censored,10,1
51+,inpatient_ward,censored,12,1
51+,inpatient_ward,imputed,1,11
51+,inpatient_ward,imputed,2,5
51+,inpatient_ward,imputed,3,18
51+,inpatient_ward,imputed,4,8
51+,inpatient_ward,imputed,5,2
51+,inpatient_ward,imputed,6,5
51+,inpatient_ward,imputed,7,6
51+,inpatient_ward,imputed,8,10
51+,inpatient_ward,imputed,9,1
51+,inpatient_ward,imputed,10,1
51+,inpatient_ward,imputed,12,1
51+,inpatient_ward,uncensored,1,11
51+,inpatient_ward,uncensored,2,5
51+,inpatient_ward,uncensored,3,15
51+,inpatient_ward,uncensored,4,5
51+,inpatient_ward,uncensored,5,2
51+,inpatient_ward,uncensored,6,2
51+,inpatient_ward,uncensored,7,1
51+,inpatient_ward,uncensored,8,3
51+,intensive_care_unit,censored,2,1
51+,intensive_care_unit,censored,3,1
51+,intensive_care_unit,censored,4,1
51+,intensive_care_unit,censored,5,1
51+,intensive_care_unit,censored,6,1
51+,intensive_care_unit,censored,8,2
51+,intensive_care_unit,censored,9,1
51+,intensive_care_unit,censored,10,1
51+,intensive_care_unit,censored,11,1
51+,intensive_care_unit,imputed,1,7
51+,intensive_care_unit,imputed,3,2
51+,intensive_care_unit,imputed,4,1
51+,intensive_care_unit,imputed,6,2
51+,intensive_care_unit,imputed,7,1
51+,intensive_care_unit,imputed,9,1
51+,intensive_care_unit,imputed,10,1
51+,intensive_care_unit,imputed,12,1
51+,intensive_care_unit,imputed,15,2
51+,intensive_care_unit,imputed,16,1
51+,intensive_care_unit,imputed,19,1
51+,intensive_care_unit,imputed,23,1
51+,intensive_care_unit,uncensored,1,7
51+,intensive_care_unit,uncensored,3,2
51+,intensive_care_unit,uncensored,4,1
51+,intensive_care_unit,uncensored,7,1
