age_group_simple,state,type,state_duration,count
0-50,home,censored,2,22
0-50,home,censored,3,45
0-50,home,censored,4,35
0-50,home,censored,5,42
0-50,home,censored,6,45
0-50,home,censored,7,50
0-50,home,censored,8,36
0-50,home,censored,9,72
0-50,home,censored,10,66
0-50,home,censored,11,40
0-50,home,censored,12,50
0-50,home,censored,13,50
0-50,home,censored,14,31
0-50,home,censored,15,9
0-50,home,censored,16,29
0-50,home,censored,17,19
0-50,home,censored,18,11
0-50,home,censored,19,15
0-50,home,censored,20,3
0-50,home,censored,21,2
0-50,home,censored,22,3
0-50,home,censored,24,1
0-50,home,censored,25,1
0-50,home,censored,26,1
0-50,home,imputed,1,1
0-50,home,imputed,3,3
0-50,home,imputed,4,9
0-50,home,imputed,5,2
0-50,home,imputed,6,3
0-50,home,imputed,7,3
0-50,home,imputed,8,21
0-50,home,imputed,9,1
0-50,home,imputed,10,15
0-50,home,imputed,11,17
0-50,home,imputed,12,21
0-50,home,imputed,13,31
0-50,home,imputed,14,351
0-50,home,imputed,15,163
0-50,home,imputed,16,105
0-50,home,imputed,17,72
0-50,home,imputed,18,38
0-50,home,imputed,19,32
0-50,home,imputed,20,55
0-50,home,imputed,21,8
0-50,home,imputed,22,23
0-50,home,imputed,23,16
0-50,home,imputed,24,4
0-50,home,imputed,26,9
0-50,home,imputed,27,7
0-50,home,uncensored,1,1
0-50,home,uncensored,3,3
0-50,home,uncensored,4,7
0-50,home,uncensored,5,2
0-50,home,uncensored,6,3
0-50,home,uncensored,7,2
0-50,home,uncensored,8,12
0-50,home,uncensored,9,1
0-50,home,uncensored,10,9
0-50,home,uncensored,11,4
0-50,home,uncensored,12,10
0-50,home,uncensored,13,12
0-50,home,uncensored,14,130
0-50,home,uncensored,15,57
0-50,home,uncensored,16,30
0-50,home,uncensored,17,19
0-50,home,uncensored,18,10
0-50,home,uncensored,19,4
0-50,home,uncensored,20,8
0-50,home,uncensored,21,1
0-50,home,uncensored,22,3
0-50,home,uncensored,23,2
0-50,home,uncensored,26,1
0-50,home,uncensored,27,1
0-50,inpatient_ward,censored,3,1
0-50,inpatient_ward,censored,4,1
0-50,inpatient_ward,imputed,1,4
0-50,inpatient_ward,imputed,2,1
0-50,inpatient_ward,imputed,3,2
0-50,inpatient_ward,imputed,4,1
0-50,inpatient_ward,imputed,5,1
0-50,inpatient_ward,imputed,6,1
0-50,inpatient_ward,imputed,7,1
0-50,inpatient_ward,uncensored,1,4
0-50,inpatient_ward,uncensored,2,1
0-50,inpatient_ward,uncensored,3,2
0-50,inpatient_ward,uncensored,4,1
0-50,inpatient_ward,uncensored,5,1
0-50,intensive_care_unit,censored,6,1
0-50,intensive_care_unit,imputed,2,1
0-50,intensive_care_unit,imputed,7,1
0-50,intensive_care_unit,uncensored,2,1
51+,home,censored,2,8
51+,home,censored,3,10
51+,home,censored,4,8
51+,home,censored,5,19
51+,home,censored,6,20
51+,home,censored,7,15
51+,home,censored,8,10
51+,home,censored,9,30
51+,home,censored,10,30
51+,home,censored,11,28
51+,home,censored,12,21
51+,home,censored,13,21
51+,home,censored,14,18
51+,home,censored,15,3
51+,home,censored,16,11
51+,home,censored,17,11
51+,home,censored,18,5
51+,home,censored,19,7
51+,home,censored,20,2
51+,home,censored,22,4
51+,home,censored,25,1
51+,home,imputed,1,13
51+,home,imputed,2,7
51+,home,imputed,3,6
51+,home,imputed,4,3
51+,home,imputed,5,5
51+,home,imputed,6,7
51+,home,imputed,7,4
51+,home,imputed,8,10
51+,home,imputed,9,3
51+,home,imputed,10,5
