state,age_group_simple,state_duration,count
home,0-50,1,2
home,0-50,3,2
home,0-50,4,6
home,0-50,5,4
home,0-50,6,10
home,0-50,7,6
home,0-50,8,23
home,0-50,9,7
home,0-50,10,17
home,0-50,11,18
home,0-50,12,26
home,0-50,13,37
home,0-50,14,349
home,0-50,15,151
home,0-50,16,114
home,0-50,17,77
home,0-50,18,53
home,0-50,19,37
home,0-50,20,45
home,0-50,21,7
home,0-50,22,18
home,0-50,23,19
home,0-50,24,2
home,0-50,25,16
home,0-50,26,4
home,0-50,27,7
home,51+,1,11
home,51+,2,5
home,51+,3,4
home,51+,4,3
home,51+,5,6
home,51+,6,5
home,51+,7,4
home,51+,8,10
home,51+,9,2
home,51+,10,15
home,51+,11,8
home,51+,12,7
home,51+,13,14
home,51+,14,147
home,51+,15,51
home,51+,16,49
home,51+,17,29
home,51+,18,19
home,51+,19,22
home,51+,20,34
home,51+,21,2
home,51+,22,8
home,51+,23,9
home,51+,24,3
home,51+,25,6
home,51+,26,4
home,51+,27,2
inpatient_ward,0-50,1,4
inpatient_ward,0-50,2,1
inpatient_ward,0-50,3,2
inpatient_ward,0-50,4,1
inpatient_ward,0-50,5,2
inpatient_ward,0-50,6,1
inpatient_ward,51+,1,12
inpatient_ward,51+,2,6
inpatient_ward,51+,3,12
inpatient_ward,51+,4,7
inpatient_ward,51+,5,3
inpatient_ward,51+,6,2
inpatient_ward,51+,7,4
inpatient_ward,51+,8,14
inpatient_ward,51+,9,2
inpatient_ward,51+,11,1
inpatient_ward,51+,12,1
inpatient_ward,51+,13,1
inpatient_ward,51+,15,1
intensive_care_unit,0-50,2,1
intensive_care_unit,0-50,12,1
intensive_care_unit,51+,1,5
intensive_care_unit,51+,3,2
intensive_care_unit,51+,4,1
intensive_care_unit,51+,7,3
intensive_care_unit,51+,8,1
intensive_care_unit,51+,9,1
intensive_care_unit,51+,11,2
intensive_care_unit,51+,12,1
intensive_care_unit,51+,13,2
intensive_care_unit,51+,NA,1
