state,age_group_simple,state_duration,count
home,0-50,1,2
home,0-50,2,1
home,0-50,3,3
home,0-50,4,5
home,0-50,5,2
home,0-50,6,5
home,0-50,7,4
home,0-50,8,16
home,0-50,9,15
home,0-50,10,9
home,0-50,11,17
home,0-50,12,28
home,0-50,13,58
home,0-50,14,323
home,0-50,15,117
home,0-50,16,100
home,0-50,17,49
home,0-50,18,18
home,0-50,19,35
home,0-50,20,31
home,0-50,21,6
home,0-50,22,29
home,0-50,23,18
home,0-50,24,3
home,0-50,26,10
home,51+,1,11
home,51+,2,6
home,51+,3,4
home,51+,4,5
home,51+,5,2
home,51+,6,7
home,51+,7,3
home,51+,8,6
home,51+,9,5
home,51+,10,4
home,51+,11,8
home,51+,12,14
home,51+,13,20
home,51+,14,132
home,51+,15,40
home,51+,16,41
home,51+,17,26
home,51+,18,5
home,51+,19,22
home,51+,20,19
home,51+,21,3
home,51+,22,10
home,51+,23,8
home,51+,24,3
home,51+,26,3
inpatient_ward,0-50,1,4
inpatient_ward,0-50,3,3
inpatient_ward,0-50,4,1
inpatient_ward,0-50,6,1
inpatient_ward,0-50,8,1
inpatient_ward,51+,1,9
inpatient_ward,51+,2,5
inpatient_ward,51+,3,11
inpatient_ward,51+,4,10
inpatient_ward,51+,5,2
inpatient_ward,51+,6,7
inpatient_ward,51+,7,3
inpatient_ward,51+,8,9
inpatient_ward,51+,9,1
inpatient_ward,51+,10,1
inpatient_ward,51+,12,1
intensive_care_unit,0-50,2,1
intensive_care_unit,0-50,6,1
intensive_care_unit,51+,1,5
intensive_care_unit,51+,3,2
intensive_care_unit,51+,4,1
intensive_care_unit,51+,5,1
intensive_care_unit,51+,7,1
intensive_care_unit,51+,8,1
intensive_care_unit,51+,9,1
intensive_care_unit,51+,10,3
intensive_care_unit,51+,11,1
intensive_care_unit,51+,12,1
intensive_care_unit,51+,13,2
