state,age_group_simple,state_duration,count
home,0-50,1,1
home,0-50,3,2
home,0-50,4,8
home,0-50,5,5
home,0-50,6,7
home,0-50,7,2
home,0-50,8,20
home,0-50,9,2
home,0-50,10,12
home,0-50,11,14
home,0-50,12,22
home,0-50,13,33
home,0-50,14,392
home,0-50,15,146
home,0-50,16,89
home,0-50,17,102
home,0-50,18,63
home,0-50,19,45
home,0-50,20,44
home,0-50,21,4
home,0-50,22,27
home,0-50,23,20
home,0-50,24,2
home,0-50,25,10
home,0-50,26,9
home,0-50,27,5
home,0-50,28,1
home,51+,1,11
home,51+,2,5
home,51+,3,5
home,51+,4,3
home,51+,5,6
home,51+,6,6
home,51+,7,4
home,51+,8,10
home,51+,9,3
home,51+,10,5
home,51+,11,5
home,51+,12,5
home,51+,13,13
home,51+,14,158
home,51+,15,45
home,51+,16,48
home,51+,17,36
home,51+,18,22
home,51+,19,16
home,51+,20,32
home,51+,21,5
home,51+,22,18
home,51+,23,8
home,51+,24,2
home,51+,25,5
home,51+,26,6
inpatient_ward,0-50,1,4
inpatient_ward,0-50,2,1
inpatient_ward,0-50,3,2
inpatient_ward,0-50,4,2
inpatient_ward,0-50,5,2
inpatient_ward,51+,1,12
inpatient_ward,51+,2,6
inpatient_ward,51+,3,13
inpatient_ward,51+,4,4
inpatient_ward,51+,5,4
inpatient_ward,51+,6,3
inpatient_ward,51+,7,4
inpatient_ward,51+,8,6
inpatient_ward,51+,9,8
inpatient_ward,51+,10,2
inpatient_ward,51+,12,1
inpatient_ward,51+,13,1
inpatient_ward,51+,14,1
inpatient_ward,51+,16,1
intensive_care_unit,0-50,2,1
intensive_care_unit,0-50,13,1
intensive_care_unit,51+,1,5
intensive_care_unit,51+,3,3
intensive_care_unit,51+,4,1
intensive_care_unit,51+,7,2
intensive_care_unit,51+,8,1
intensive_care_unit,51+,9,1
intensive_care_unit,51+,11,2
intensive_care_unit,51+,12,1
intensive_care_unit,51+,13,2
intensive_care_unit,51+,NA,2
