state,age_group_simple,state_duration,count
home,0-50,1,1
home,0-50,3,2
home,0-50,4,8
home,0-50,5,5
home,0-50,6,4
home,0-50,7,6
home,0-50,8,17
home,0-50,9,1
home,0-50,10,18
home,0-50,11,12
home,0-50,12,25
home,0-50,13,26
home,0-50,14,365
home,0-50,15,149
home,0-50,16,101
home,0-50,17,63
home,0-50,18,45
home,0-50,19,37
home,0-50,20,55
home,0-50,21,4
home,0-50,22,17
home,0-50,23,20
home,0-50,24,5
home,0-50,26,11
home,0-50,27,9
home,51+,1,11
home,51+,2,5
home,51+,3,4
home,51+,4,3
home,51+,5,3
home,51+,6,5
home,51+,7,4
home,51+,8,8
home,51+,9,2
home,51+,10,3
home,51+,11,7
home,51+,12,6
home,51+,13,13
home,51+,14,136
home,51+,15,52
home,51+,16,51
home,51+,17,34
home,51+,18,15
home,51+,19,23
home,51+,20,17
home,51+,21,10
home,51+,22,11
home,51+,23,7
home,51+,24,5
home,51+,25,1
home,51+,26,4
inpatient_ward,0-50,1,4
inpatient_ward,0-50,2,1
inpatient_ward,0-50,3,2
inpatient_ward,0-50,4,1
inpatient_ward,0-50,5,2
inpatient_ward,0-50,7,1
inpatient_ward,51+,1,12
inpatient_ward,51+,2,6
inpatient_ward,51+,3,13
inpatient_ward,51+,4,6
inpatient_ward,51+,5,2
inpatient_ward,51+,6,2
inpatient_ward,51+,7,5
inpatient_ward,51+,8,15
inpatient_ward,51+,10,1
inpatient_ward,51+,11,1
inpatient_ward,51+,12,1
inpatient_ward,51+,14,1
intensive_care_unit,0-50,2,1
intensive_care_unit,0-50,10,1
intensive_care_unit,51+,1,5
intensive_care_unit,51+,3,2
intensive_care_unit,51+,4,1
intensive_care_unit,51+,6,1
intensive_care_unit,51+,7,2
intensive_care_unit,51+,9,1
intensive_care_unit,51+,11,2
intensive_care_unit,51+,12,3
intensive_care_unit,51+,13,2
