state,age_group_simple,state_duration,count
home,0-50,1,1
home,0-50,3,2
home,0-50,4,9
home,0-50,5,1
home,0-50,6,6
home,0-50,7,5
home,0-50,8,18
home,0-50,9,3
home,0-50,10,15
home,0-50,11,8
home,0-50,12,24
home,0-50,13,35
home,0-50,14,376
home,0-50,15,151
home,0-50,16,79
home,0-50,17,71
home,0-50,18,32
home,0-50,19,32
home,0-50,20,50
home,0-50,21,5
home,0-50,22,20
home,0-50,23,13
home,0-50,24,8
home,0-50,25,1
home,0-50,26,10
home,0-50,27,5
home,51+,1,12
home,51+,2,5
home,51+,3,3
home,51+,4,3
home,51+,5,3
home,51+,6,5
home,51+,7,5
home,51+,8,9
home,51+,9,2
home,51+,10,6
home,51+,11,7
home,51+,12,9
home,51+,13,15
home,51+,14,126
home,51+,15,54
home,51+,16,44
home,51+,17,28
home,51+,18,17
home,51+,19,16
home,51+,20,27
home,51+,21,2
home,51+,22,7
home,51+,23,10
home,51+,24,5
home,51+,26,3
home,51+,27,3
inpatient_ward,0-50,1,4
inpatient_ward,0-50,2,1
inpatient_ward,0-50,3,2
inpatient_ward,0-50,4,1
inpatient_ward,0-50,6,1
inpatient_ward,0-50,7,1
inpatient_ward,0-50,8,1
inpatient_ward,51+,1,11
inpatient_ward,51+,2,5
inpatient_ward,51+,3,11
inpatient_ward,51+,4,8
inpatient_ward,51+,5,3
inpatient_ward,51+,6,3
inpatient_ward,51+,7,6
inpatient_ward,51+,8,13
inpatient_ward,51+,9,1
inpatient_ward,51+,10,1
inpatient_ward,51+,11,1
inpatient_ward,51+,13,1
intensive_care_unit,0-50,2,1
intensive_care_unit,0-50,7,1
intensive_care_unit,51+,1,5
intensive_care_unit,51+,3,2
intensive_care_unit,51+,4,1
intensive_care_unit,51+,7,3
intensive_care_unit,51+,8,1
intensive_care_unit,51+,10,1
intensive_care_unit,51+,11,3
intensive_care_unit,51+,12,2
intensive_care_unit,51+,13,1
